Time	LH_AnkleZ	LH_HipZ	LH_Knee	
0	0	0	0	
5E-05	6.46049E-17	4.857226E-17	-2.602085E-18	
0.0001	-2.648454E-13	-5.697549E-10	-7.437619E-10	
0.00015	6.977617E-12	-1.564843E-09	-2.036828E-09	
0.0002	1.452901E-11	-2.857959E-09	-3.707772E-09	
0.00025	2.010156E-11	-4.379567E-09	-5.723753E-09	
0.0003	2.290113E-11	-5.886148E-09	-7.70551E-09	
0.00035	2.691194E-09	2.992702E-08	4.100071E-08	
0.0004	7.718807E-09	1.353646E-07	1.747162E-07	
0.00045	1.439602E-08	3.342994E-07	4.10654E-07	
0.0005	2.207411E-08	6.436273E-07	7.577523E-07	
0.00055	3.265772E-08	1.199395E-06	1.329806E-06	
0.0006	4.741646E-08	2.029076E-06	2.212542E-06	
0.00065	6.066732E-08	3.182369E-06	3.475957E-06	
0.0007	7.394758E-08	4.688137E-06	5.155046E-06	
0.00075	9.072372E-08	6.691396E-06	7.461154E-06	
0.0008	1.10554E-07	9.289755E-06	1.054064E-05	
0.00085	1.318897E-07	1.254609E-05	1.449141E-05	
0.0009	1.529876E-07	1.64877E-05	1.936125E-05	
0.00095	1.776559E-07	2.131053E-05	2.546779E-05	
0.0009999999	2.048511E-07	2.714115E-05	3.303396E-05	
0.00105	2.320487E-07	3.405665E-05	4.221128E-05	
0.0011	2.566346E-07	4.208377E-05	5.307716E-05	
0.00115	2.837268E-07	5.146459E-05	6.605985E-05	
0.0012	3.119573E-07	6.235672E-05	8.147024E-05	
0.00125	3.379589E-07	7.484534E-05	9.951313E-05	
0.0013	3.585581E-07	8.895693E-05	0.0001203116	
0.00135	3.803202E-07	0.0001049689	0.0001443855	
0.0014	4.015596E-07	0.000123057	0.0001721129	
0.00145	4.184196E-07	0.000143309	0.0002037462	
0.0015	4.271612E-07	0.0001657395	0.0002394316	
0.00155	4.356883E-07	0.0001906503	0.0002797503	
0.0016	4.421441E-07	0.0002182201	0.0003251126	
0.00165	4.421314E-07	0.0002485263	0.0003757844	
0.0017	4.315219E-07	0.0002815602	0.0004319075	
0.00175	4.19039E-07	0.0003176211	0.0004940692	
0.0018	4.024886E-07	0.0003568773	0.0005626708	
0.00185	3.773042E-07	0.0003993768	0.0006379436	
0.0019	3.392866E-07	0.0004450831	0.0007200002	
0.00195	2.970053E-07	0.0004942709	0.0008093799	
0.002	2.541876E-07	0.0005470787	0.000906433	
0.00205	2.143843E-07	0.0006035208	0.001011331	
0.0021	1.734103E-07	0.0006635213	0.001124118	
0.00215	1.410563E-07	0.0007273129	0.001245252	
0.0022	1.148386E-07	0.0007949858	0.001374991	
0.00225	9.029924E-08	0.0008665161	0.001513433	
0.0023	6.581987E-08	0.0009417893	0.001660546	
0.00235	4.990983E-08	0.001020978	0.001816674	
0.0024	4.035644E-08	0.001104122	0.001981974	
0.00245	3.343523E-08	0.001191155	0.002156461	
0.0025	2.567834E-08	0.001281928	0.002340029	
0.00255	2.392406E-08	0.001376552	0.002532909	
0.0026	2.617044E-08	0.001475015	0.002735164	
0.00265	2.943001E-08	0.001577213	0.002946728	
0.0027	3.098639E-08	0.001682973	0.00316744	
0.00275	3.585672E-08	0.001792339	0.003397413	
0.0028	4.250848E-08	0.001905251	0.003636622	
0.00285	4.795372E-08	0.00202158	0.003884945	
0.0029	5.00847E-08	0.002141138	0.004142173	
0.00295	6.207361E-08	0.002263905	0.004408318	
0.003	8.562842E-08	0.002389788	0.004683287	
0.00305	1.193243E-07	0.002518641	0.004966914	
0.0031	1.617898E-07	0.002650267	0.005258964	
0.00315	2.144298E-07	0.0027846	0.005559363	
0.0032	2.765856E-07	0.002921517	0.005867964	
0.00325	3.473139E-07	0.003060864	0.006184571	
0.0033	4.256023E-07	0.003202454	0.006508948	
0.00335	5.106958E-07	0.003346181	0.006840949	
0.0034	6.022761E-07	0.003491908	0.007180395	
0.00345	7.028587E-07	0.003639479	0.007527071	
0.0035	8.343519E-07	0.003788721	0.007880745	
0.00355	9.945296E-07	0.003939494	0.008241225	
0.0036	1.183674E-06	0.004091654	0.008608309	
0.00365	1.447828E-06	0.004245052	0.008981788	
0.0037	1.081266E-05	0.004399421	0.009361365	
0.00375	3.905427E-05	0.00455449	0.009746736	
0.0038	9.582507E-05	0.00471	0.01013761	
0.00385	0.0001901163	0.004865717	0.01053371	
0.0039	0.0003299735	0.005021431	0.01093479	
0.00395	0.0005217478	0.005176926	0.01134057	
0.004	0.0007698924	0.005332039	0.01175082	
0.00405	0.0010768	0.00548666	0.01216538	
0.0041	0.001442435	0.00564074	0.01258415	
0.00415	0.001864022	0.005794189	0.01300692	
0.0042	0.002336077	0.005947003	0.01343361	
